room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16266227,1429,39884337,Private room,,Boston,,Allston,0,0.0,2,1.0,,45.0,,Spacious Private Room near Havard Avenue,2017-07-10 15:16:33.635213,42.351253,-71.132105,0101000020E6100000D6A8876874C851C09ACFB9DBF52C4540
10186477,1429,184232,Private room,,Boston,,Fenway,3,5.0,2,1.0,,50.0,,Cozy Private Room in Fenway/Kenmore,2017-07-10 15:16:33.607273,42.346264,-71.10296,0101000020E6100000F4328AE596C651C01DE4F560522C4540
17676984,1429,21745230,Private room,,Boston,,Charlestown,4,4.5,1,1.0,,43.0,,Private room-10 min to downtown15 min to Cambridge,2017-07-10 15:16:30.803643,42.382449,-71.076703,0101000020E61000005320B3B3E8C451C0A7B1BD16F4304540
1529321,1429,8139434,Private room,,Boston,,Allston,113,4.5,2,1.0,,59.0,,d ** BEST PRIVATE ROOM IN BOSTON **,2017-07-10 15:16:30.794702,42.35528,-71.134499,0101000020E61000001096B1A19BC851C02176A6D0792D4540
13830152,1429,21745230,Private room,,Boston,,Charlestown,19,5.0,2,1.0,,57.0,,Room in a house 3 min to T stop-10 min to downtown,2017-07-10 15:16:26.068732,42.383907,-71.078786,0101000020E61000007D586FD40AC551C04DDA54DD23314540
16040427,1429,97134191,Private room,,Boston,,Allston,11,4.5,2,1.0,,50.0,,Female only | Spacious and clean private room,2017-07-10 15:16:21.337072,42.352838,-71.126012,0101000020E6100000D4B9A29410C851C09D64ABCB292D4540
17403733,1429,36017113,Private room,,Boston,,Allston,11,4.5,2,1.0,,50.0,,Bedroom + private bathroom near harvard/central sq,2017-07-10 15:16:19.812062,42.365698,-71.120564,0101000020E6100000CC441152B7C751C0371B2B31CF2E4540
15599662,1429,35695159,Private room,,Boston,,Charlestown,2,0.0,1,1.0,,51.0,,Private Room Close to Public Transport (Downtown),2017-07-10 15:16:16.198852,42.382811,-71.078647,0101000020E61000006D3B6D8D08C551C047C66AF3FF304540
16517776,1429,21745230,Private room,,Boston,,Charlestown,2,0.0,2,1.0,,44.0,,Room in garden apartment next to T stop / bus hub,2017-07-10 15:16:16.190153,42.383322,-71.078158,0101000020E6100000EE7A698A00C551C02DEBFEB110314540
18376729,1429,127268231,Private room,,Boston,,Allston,4,5.0,2,1.0,,40.0,,Cozy and private bedroom in the heart of Allston,2017-07-10 15:16:05.184097,42.348284,-71.139827,0101000020E61000004206F2ECF2C851C02BDCF291942C4540
6709682,1429,212445,Private room,,Boston,,Roxbury,36,4.5,2,1.0,,55.0,,Private room in Boston,2017-07-10 15:16:05.179662,42.33721,-71.084783,0101000020E61000006F10AD156DC551C02CF180B2292B4540
18526885,1429,106950426,Private room,,Boston,,Roxbury,1,0.0,1,1.0,,42.0,,"Stylish, modern duplex near Orange Line, Longwood",2017-07-10 15:15:59.494150,42.317021,-71.094841,0101000020E61000007A54FCDF11C651C09692E52494284540
18449729,1429,13250433,Private room,,Boston,,Brighton,7,4.5,2,1.0,,49.0,,"Close to BC&BU nice, cheap - steps to T",2017-07-10 15:15:57.290192,42.343112,-71.146933,0101000020E6100000016DAB5967C951C0BD6E1118EB2B4540
19621258,1429,105646461,Private room,,Boston,,Brighton,0,0.0,4,1.0,,59.0,,"环境优美的大house，comfortable, easy access to city",2017-07-10 15:15:57.276130,42.360163,-71.142542,0101000020E61000009D137B681FC951C0581D39D2192E4540
18941587,1429,2315920,Private room,,Boston,,Brighton,0,0.0,2,1.0,,50.0,,"Private room, a short walk to the Charles",2017-07-10 15:15:57.271553,42.36251,-71.142467,0101000020E61000009770E82D1EC951C08A3C49BA662E4540
18473519,1429,78962454,Private room,,Boston,,Roxbury,6,4.5,2,1.0,,49.0,,Spacious and Convenient,2017-07-10 15:15:57.266517,42.318505,-71.081368,0101000020E610000038BC202235C551C0664E97C5C4284540
5702292,1429,19280995,Private room,,Boston,,Jamaica Plain,20,4.0,2,1.0,,60.0,,Elegant Space in JP!,2017-07-10 15:15:55.378898,42.31315,-71.104788,0101000020E6100000D940BAD8B4C651C0075F984C15284540
17940636,1429,3998410,Private room,,Boston,,Allston,3,4.5,2,1.0,,48.0,,(1s)  Private Room in Allston 1-2 Guests by CfSI,2017-07-10 15:15:55.360021,42.352754,-71.134212,0101000020E6100000C5AEEDED96C851C03FC4060B272D4540
